cube_id,exit_code,wall_seconds
z04352_y03072_x03200,0,10.52
z04352_y02816_x03072,0,14.23
z04352_y03072_x03328,0,12.52
z04352_y03072_x02944,0,12.94
z04352_y02944_x02432,0,14.27
z04352_y03072_x02304,0,14.18
z04352_y03072_x03456,0,13.67
z04352_y02816_x02944,0,15.50
z04352_y02816_x02688,0,16.37
z04352_y02816_x03200,0,17.97
z04352_y02816_x03456,0,18.41
z04352_y02816_x03328,0,18.75
z04352_y02944_x03072,0,18.61
z04352_y02944_x02304,0,18.83
z04352_y02816_x02816,0,19.37
z04352_y03072_x03072,0,18.33
z04352_y02816_x02304,0,20.70
z04352_y03200_x03456,0,4.89
z04352_y02816_x02560,0,21.58
z04352_y02944_x03456,0,20.30
z04352_y03200_x02432,0,20.21
z04352_y02816_x02432,0,22.88
z04352_y02944_x02560,0,23.43
z04352_y03072_x02432,0,23.50
z04352_y02944_x02944,0,25.06
z04352_y03200_x03200,0,11.09
z04352_y02944_x03200,0,25.88
z04352_y03200_x03328,0,12.18
z04352_y03200_x02304,0,25.91
z04352_y03072_x02816,0,26.15
z04352_y03456_x02432,0,7.37
z04352_y02944_x03328,0,28.62
z04352_y03328_x02816,0,10.11
z04352_y03200_x02944,0,14.97
z04352_y03584_x02432,0,2.12
z04352_y03328_x03328,0,10.23
z04352_y03200_x03072,0,16.31
z04352_y03328_x02432,0,13.75
z04352_y03328_x03456,0,12.23
z04352_y03328_x02944,0,13.46
z04352_y03200_x02560,0,21.45
z04352_y03456_x02304,0,15.10
z04352_y03072_x02688,0,35.88
z04352_y03328_x02688,0,19.35
z04352_y03328_x02560,0,19.65
z04352_y03584_x02560,0,10.58
z04352_y03456_x02560,0,17.65
z04352_y03200_x02816,0,25.62
z04352_y03584_x02304,0,12.58
z04352_y03456_x02688,0,18.84
z04352_y03328_x03200,0,22.56
z04352_y03328_x03072,0,24.50
z04352_y03072_x02560,0,43.12
z04352_y02944_x02688,0,45.08
z04352_y03584_x02688,0,18.26
z04352_y03456_x03072,0,21.96
z04352_y03456_x03200,0,21.23
z04352_y03200_x02688,0,33.96
z04352_y02944_x02816,0,47.18
z04352_y03456_x02816,0,25.34
z04352_y03328_x02304,0,32.84
z04352_y03456_x03328,0,23.70
z04352_y03584_x02816,0,21.36
z04352_y03456_x03456,0,23.23
z04352_y03712_x02560,0,17.40
