"sweep","tile","loaded_cubes","core_cubes","active_charts","charts_moved","overlap_before","overlap_after","welds_torn","seconds"
"1","z00_y00_x00","64","27","268","24","415025","358212","36","2.141"
"1","z00_y00_x03","80","27","247","30","427155","384683","37","2.708"
"1","z00_y00_x06","80","27","182","12","131120","119624","16","1.216"
"1","z00_y00_x09","32","9","48","3","2062","1035","0","0.271"
"1","z00_y03_x00","80","27","219","31","348770","296550","41","1.844"
"1","z00_y03_x03","100","27","213","184","196729","141049","157","2.493"
"1","z00_y03_x06","100","27","154","18","118473","106681","48","1.476"
"1","z00_y03_x09","40","9","40","5","48553","40772","5","0.435"
"1","z00_y06_x00","80","27","208","17","148561","120293","22","1.746"
"1","z00_y06_x03","100","27","253","40","223352","169497","73","3.016"
"1","z00_y06_x06","100","27","278","59","650907","550743","67","3.135"
"1","z00_y06_x09","40","9","74","16","182103","153967","31","0.94"
"1","z00_y09_x00","32","9","184","40","86092","62153","22","1.133"
"1","z00_y09_x03","40","9","150","41","95757","76158","40","1.508"
"1","z00_y09_x06","40","9","113","44","310893","257859","35","1.249"
"1","z00_y09_x09","16","3","28","3","82043","77173","8","0.369"
"1","z03_y00_x00","80","27","298","48","521985","479908","68","3.153"
"1","z03_y00_x03","100","27","306","38","626416","564595","98","3.659"
"1","z03_y00_x06","100","27","238","30","153808","137051","40","1.445"
"1","z03_y00_x09","40","9","48","2","1495","1046","1","0.281"
"1","z03_y03_x00","99","27","248","40","477185","363966","70","2.469"
"1","z03_y03_x03","124","26","204","85","353979","305631","121","3.237"
"1","z03_y03_x06","125","27","140","33","92563","85887","64","1.721"
"1","z03_y03_x09","50","9","35","2","9062","8904","5","0.413"
"1","z03_y06_x00","99","26","162","47","144810","109997","72","1.909"
"1","z03_y06_x03","124","27","204","19","324342","310253","111","3.109"
"1","z03_y06_x06","125","27","246","50","531306","411630","104","3.634"
"1","z03_y06_x09","50","9","73","21","91923","78401","46","1.065"
"1","z03_y09_x00","40","9","107","38","90433","81574","99","1.129"
"1","z03_y09_x03","50","9","119","44","221578","203097","112","1.545"
"1","z03_y09_x06","50","9","85","16","226499","192936","74","1.548"
"1","z03_y09_x09","20","3","29","3","47100","42308","26","0.482"
"1","z06_y00_x00","80","27","294","26","374237","343754","55","2.993"
"1","z06_y00_x03","100","27","290","26","315993","275427","58","3.474"
"1","z06_y00_x06","100","27","214","31","103485","101535","33","1.346"
"1","z06_y00_x09","40","9","46","0","1203","1203","3","0.271"
"1","z06_y03_x00","100","27","225","33","213722","161351","39","1.829"
"1","z06_y03_x03","124","27","208","12","220960","166581","48","2.42"
"1","z06_y03_x06","125","27","142","17","96219","80413","28","1.385"
"1","z06_y03_x09","50","9","29","0","1517","1517","4","0.31"
"1","z06_y06_x00","100","27","140","25","128589","111791","47","1.41"
"1","z06_y06_x03","124","27","187","45","152484","146457","82","2.115"
"1","z06_y06_x06","125","27","220","16","153535","127645","105","2.839"
"1","z06_y06_x09","50","9","49","8","44942","35177","44","0.838"
"1","z06_y09_x00","40","9","96","27","96245","75734","49","0.943"
"1","z06_y09_x03","50","9","97","9","124750","106399","56","1.037"
"1","z06_y09_x06","50","9","116","48","96331","67136","125","1.321"
"1","z06_y09_x09","20","3","33","1","24356","24356","31","0.477"
"1","z09_y00_x00","32","9","113","5","132991","117465","10","1.078"
"1","z09_y00_x03","40","9","119","14","127815","111319","30","1.256"
"1","z09_y00_x06","40","9","74","3","38895","33716","20","0.524"
"1","z09_y00_x09","16","3","15","0","334","334","0","0.111"
"1","z09_y03_x00","40","9","40","2","51747","45711","8","0.503"
"1","z09_y03_x03","50","9","82","13","45591","31335","24","0.786"
"1","z09_y03_x06","50","9","39","2","42017","39774","17","0.469"
"1","z09_y03_x09","20","3","11","0","846","846","3","0.114"
"1","z09_y06_x00","40","9","32","4","33886","27346","14","0.439"
"1","z09_y06_x03","50","9","66","4","64188","60011","20","0.684"
"1","z09_y06_x06","50","9","65","6","76842","63957","33","0.895"
"1","z09_y06_x09","20","3","14","2","9200","6901","12","0.276"
"1","z09_y09_x00","16","3","38","4","26435","22346","15","0.328"
"1","z09_y09_x03","20","3","25","3","34998","29144","14","0.346"
"1","z09_y09_x06","20","3","28","3","35642","29113","18","0.444"
"1","z09_y09_x09","8","1","8","1","5835","3304","12","0.167"
