group,color,action,charts,faces,vertices,mean_radius,radius_spread,circumference,wraps,shift_u,shift_v,overlap_before,overlap_after,intra_overlap,intra_wrongwind
0,#3f3f3f,settled,8,3049,1705,355.868,118.473,2235.98,0,0,0,52642,0,0,0
1,#bb9466,shifted,9,2847,1621,366.355,104.62,2301.87,0,0,0,52339,0,2245,1871
2,#84e98c,shifted,13,3930,2236,330.96,114.436,2079.48,0,0,0,52656,0,0,0
3,#4d8cb3,settled,16,4847,2742,324.263,192.199,2037.4,0,0,0,0,0,0,0
4,#c8e0da,shifted,17,5518,3113,315.251,209.906,1980.78,0,0,0,28386,0,0,0
5,#91824e,settled,20,5959,3380,308.654,220.677,1939.33,0,0,0,28386,0,0,0
6,#5ad874,shifted,9,2556,1476,343.275,111.808,2156.86,0,0,0,44576,0,0,0
7,#d6799c,shifted,5,1831,1028,385.005,115.013,2419.06,0,0,0,37717,0,0,0
8,#9ecfc2,shifted,24,6573,3748,292.843,238.923,1839.99,0,0,0,65395,0,0,0
9,#6771e9,shifted,44,12932,7353,306.435,253.519,1925.39,0,0,0,98356,0,0,0
10,#e3c65d,shifted,55,14866,8506,293.482,215.601,1844,0,0,0,96053,0,0,0
11,#ac6884,shifted,54,15327,8735,273.676,232.977,1719.56,0,0,0,0,0,0,0
12,#74bdaa,shifted,305,83314,47804,203.091,359.127,1276.06,0,0,0,4116,0,69929,57178
13,#f05fd2,shifted,9,651,452,80.4556,95.6461,505.517,0,0,0,4116,0,0,0
14,#b9b445,shifted,8,1979,1139,340.158,158.539,2137.28,0,0,0,0,0,0,0
15,#82566c,settled,4,1218,695,398.123,105.163,2501.48,0,0,0,0,0,0,0
