cube_id,exit_code,wall_seconds
z04352_y03328_x02816,0,13.87
z04352_y03328_x02944,0,17.02
z04352_y03072_x02944,0,19.19
z04352_y03200_x02944,0,20.06
z04352_y03200_x03072,0,20.39
z04352_y03072_x03072,0,23.23
z04352_y03456_x02560,0,23.87
z04352_y03200_x02560,0,25.54
z04352_y03328_x02560,0,26.19
z04352_y03328_x02688,0,26.81
z04352_y03328_x03072,0,29.31
z04352_y03200_x02816,0,31.43
z04352_y03584_x02560,0,12.19
z04352_y03072_x02816,0,32.68
z04352_y03456_x02688,0,24.13
z04352_y03200_x02688,0,40.76
z04352_y03072_x02688,0,42.71
z04352_y03584_x02688,0,19.66
z04352_y03456_x03072,0,24.13
z04352_y03456_x02816,0,30.07
z04352_y03584_x02816,0,24.85
z04480_y03072_x03072,0,17.08
z04352_y03072_x02560,0,51.81
z04480_y03072_x02944,0,19.53
z04352_y03584_x03072,0,26.01
z04352_y03584_x02944,0,28.98
z04352_y03456_x02944,0,37.78
z04480_y03328_x02816,0,8.42
z04480_y03328_x02944,0,9.13
z04480_y03200_x02944,0,21.25
z04480_y03200_x03072,0,19.96
z04480_y03200_x02560,0,29.51
z04480_y03072_x02816,0,36.59
z04480_y03328_x02560,0,23.60
z04480_y03328_x02688,0,22.40
z04480_y03072_x02560,0,45.25
z04480_y03456_x02560,0,21.50
z04480_y03072_x02688,0,46.03
z04480_y03456_x02688,0,21.50
z04480_y03200_x02688,0,35.98
z04480_y03584_x02560,0,13.68
z04480_y03328_x03072,0,25.82
z04480_y03584_x03072,0,15.83
z04480_y03584_x02688,0,26.01
z04480_y03456_x03072,0,29.69
z04480_y03456_x02816,0,34.49
z04480_y03200_x02816,0,49.93
z04608_y03072_x03072,0,18.40
z04480_y03584_x02816,0,27.99
z04480_y03584_x02944,0,33.42
z04480_y03456_x02944,0,48.36
z04608_y03072_x02944,0,31.93
z04608_y03328_x02816,0,16.37
z04608_y03200_x02560,0,32.78
z04608_y03328_x02944,0,18.38
z04608_y03200_x02944,0,29.79
z04608_y03200_x03072,0,27.01
z04608_y03328_x03072,0,22.27
z04608_y03200_x02688,0,42.29
z04608_y03328_x02560,0,29.56
z04608_y03072_x02816,0,46.56
z04608_y03328_x02688,0,29.11
z04608_y03072_x02688,0,50.35
z04608_y03072_x02560,0,52.35
z04608_y03456_x02688,0,19.45
z04608_y03456_x02560,0,24.99
z04608_y03584_x02560,0,13.66
z04608_y03456_x02816,0,28.06
z04608_y03456_x03072,0,34.54
z04608_y03584_x03072,0,26.51
z04608_y03584_x02688,0,30.33
z04736_y03072_x03072,0,25.51
z04608_y03456_x02944,0,41.29
z04608_y03200_x02816,0,75.42
z04608_y03584_x02816,0,37.61
z04608_y03584_x02944,0,39.43
z04736_y03072_x02944,0,37.59
z04736_y03200_x02688,0,34.55
z04736_y03200_x02560,0,35.87
z04736_y03328_x02944,0,16.49
z04736_y03328_x03072,0,13.94
z04736_y03200_x02816,0,43.88
z04736_y03200_x02944,0,35.80
z04736_y03200_x03072,0,27.23
z04736_y03328_x02816,0,22.55
z04736_y03328_x02560,0,27.03
z04736_y03456_x02688,0,18.59
z04736_y03456_x02560,0,21.86
z04736_y03328_x02688,0,32.96
z04736_y03584_x02560,0,23.14
z04736_y03072_x02816,0,69.85
z04736_y03456_x02816,0,31.18
z04736_y03072_x02688,0,73.02
z04736_y03456_x03072,0,31.83
z04736_y03584_x02688,0,28.09
z04736_y03456_x02944,0,37.07
z04736_y03584_x03072,0,29.61
z04736_y03072_x02560,0,84.82
z04736_y03584_x02816,0,36.28
z04736_y03584_x02944,0,39.20
