cube_id,exit_code,wall_seconds
z04352_y03328_x02816,0,33.71
z04480_y03328_x02816,0,41.43
z04352_y03584_x02560,0,41.97
z04480_y03328_x02944,0,50.05
z04480_y03584_x02560,0,51.28
z04480_y03584_x03072,0,60.29
z04608_y03328_x02944,0,62.33
z04608_y03328_x02816,0,68.00
z04352_y03328_x02944,0,69.82
z04608_y03072_x03072,0,73.22
z04480_y03072_x03072,0,78.25
z04352_y03584_x02688,0,81.72
z04352_y03200_x03072,0,82.34
z04352_y03456_x03072,0,84.00
z04352_y03072_x03072,0,84.74
z04352_y03584_x03072,0,85.40
z04352_y03456_x02560,0,86.49
z04352_y03200_x02944,0,87.92
z04480_y03456_x02560,0,88.64
z04608_y03200_x03072,0,95.72
z04352_y03328_x03072,0,95.83
z04480_y03200_x03072,0,100.71
z04352_y03328_x02688,0,101.66
z04480_y03456_x02688,0,105.73
z04352_y03584_x02944,0,105.78
z04352_y03584_x02816,0,115.03
z04480_y03328_x03072,0,115.10
z04480_y03584_x02688,0,115.10
z04352_y03072_x02944,0,115.17
z04352_y03456_x02688,0,116.87
z04480_y03328_x02688,0,118.56
z04480_y03072_x02944,0,118.56
z04352_y03200_x02560,0,119.95
z04352_y03200_x02816,0,120.10
z04480_y03584_x02944,0,120.36
z04352_y03328_x02560,0,120.86
z04480_y03328_x02560,0,123.75
z04608_y03072_x02944,0,123.82
z04480_y03456_x03072,0,123.82
z04608_y03584_x02560,0,75.49
z04352_y03072_x02816,0,137.87
z04608_y03328_x03072,0,105.50
z04608_y03328_x02688,0,139.36
z04608_y03328_x02560,0,139.84
z04480_y03584_x02816,0,139.92
z04608_y03200_x02944,0,140.14
z04480_y03200_x02560,0,150.24
z04480_y03200_x02944,0,151.33
z04480_y03456_x02816,0,151.34
z04608_y03200_x02560,0,152.09
z04352_y03456_x02816,0,152.13
z04608_y03456_x02560,0,111.40
z04608_y03456_x02688,0,112.50
z04352_y03200_x02688,0,154.58
z04352_y03456_x02944,0,154.58
z04480_y03072_x02816,0,160.16
z04352_y03072_x02688,0,171.40
z04480_y03200_x02688,0,224.99
z04608_y03072_x02816,0,225.00
z04608_y03456_x02816,0,175.83
z04736_y03328_x02944,0,120.55
z04608_y03072_x02560,0,226.87
z04608_y03584_x03072,0,149.75
z04480_y03456_x02944,0,229.98
z04608_y03200_x02688,0,238.22
z04352_y03072_x02560,0,238.23
z04736_y03328_x03072,0,123.99
z04736_y03072_x03072,0,172.22
z04608_y03456_x03072,0,197.50
z04608_y03072_x02688,0,257.84
z04480_y03072_x02560,0,263.68
z04480_y03072_x02688,0,263.75
z04608_y03584_x02688,0,202.91
z04736_y03584_x02560,0,152.41
z04736_y03456_x02560,0,158.48
z04736_y03200_x03072,0,177.80
z04608_y03200_x02816,0,283.30
z04736_y03456_x02688,0,169.13
z04736_y03456_x02816,0,169.68
z04608_y03456_x02944,0,233.68
z04736_y03328_x02816,0,179.69
z04736_y03328_x02560,0,192.67
z04480_y03200_x02816,0,294.00
z04608_y03584_x02816,0,224.88
z04736_y03200_x02688,0,210.03
z04736_y03584_x03072,0,202.67
z04736_y03328_x02688,0,223.27
z04736_y03584_x02688,0,205.01
z04736_y03456_x02944,0,209.05
z04736_y03456_x03072,0,208.09
z04608_y03584_x02944,0,253.82
z04736_y03072_x02944,0,242.74
z04736_y03200_x02560,0,243.32
z04736_y03200_x02816,0,259.94
z04736_y03200_x02944,0,261.60
z04736_y03584_x02816,0,237.22
z04736_y03584_x02944,0,237.06
z04736_y03072_x02816,0,301.97
z04736_y03072_x02560,0,328.28
z04736_y03072_x02688,0,333.12
